cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
+20d,20.0,486,23,0.047325102880658436,0.20401798915495112,0.8371678091839609,0.2222222222222222,0.12949640287769784,0.782608695652174,0.3768115942028985,0.7503992319107056,0.5,87.0,0,finetune,1,1,7
+50d,50.0,486,23,0.047325102880658436,0.26950353684693484,0.8648699408395154,0.2809917355371901,0.17346938775510204,0.7391304347826086,0.4307692307692308,0.7286449670791626,0.5,92.0,0,finetune,1,1,7
+100d,100.0,486,23,0.047325102880658436,0.3770375540482606,0.8725701943844493,0.3333333333333333,0.21518987341772153,0.7391304347826086,0.4615384615384615,0.7495570778846741,0.5,97.0,0,finetune,1,1,7
full,,486,23,0.047325102880658436,0.5432815071024982,0.9143581556953705,0.40860215053763443,0.2714285714285714,0.8260869565217391,0.5652173913043478,0.8340921401977539,0.5,152.0,0,finetune,1,1,7
-50d,-50.0,488,24,0.04918032786885246,0.1304064141327274,0.8168103448275861,0.21395348837209302,0.12041884816753927,0.9583333333333334,0.24242424242424243,0.6861684322357178,0.5,72.0,5,finetune,1,2,8
-20d,-20.0,488,24,0.04918032786885246,0.15845839033636017,0.8123204022988506,0.20095693779904306,0.11351351351351352,0.875,0.24719101123595508,0.7201417088508606,0.5,75.0,1,finetune,1,2,8
-10d,-10.0,488,24,0.04918032786885246,0.15602020682543333,0.8169899425287357,0.19230769230769232,0.10869565217391304,0.8333333333333334,0.25316455696202533,0.733317494392395,0.5,76.0,1,finetune,1,2,8
+0d,0.0,488,24,0.04918032786885246,0.22588361625106745,0.8480603448275862,0.20192307692307693,0.11413043478260869,0.875,0.32432432432432434,0.7663108110427856,0.5,78.0,0,finetune,1,2,8
+20d,20.0,488,24,0.04918032786885246,0.3551481613391595,0.8841594827586208,0.22702702702702704,0.13043478260869565,0.875,0.4230769230769231,0.796210527420044,0.5,82.0,0,finetune,1,2,8
+50d,50.0,488,24,0.04918032786885246,0.5080903242633528,0.9254669540229885,0.3157894736842105,0.1926605504587156,0.875,0.5818181818181819,0.7853627800941467,0.5,85.5,0,finetune,1,2,8
+100d,100.0,488,24,0.04918032786885246,0.4776481290537412,0.9328304597701149,0.375,0.23863636363636365,0.875,0.5423728813559322,0.7802337408065796,0.5,90.5,0,finetune,1,2,8
full,,488,24,0.04918032786885246,0.5900293750758692,0.9586925287356323,0.41509433962264153,0.2682926829268293,0.9166666666666666,0.6031746031746031,0.802627444267273,0.5,148.0,0,finetune,1,2,8
-50d,-50.0,487,24,0.049281314168377825,0.17754674098588125,0.7620590352771778,0.16,0.09090909090909091,0.6666666666666666,0.25641025641025644,0.7736563682556152,0.5,67.0,7,finetune,1,3,9
-20d,-20.0,487,24,0.049281314168377825,0.16583795768481374,0.7469402447804177,0.16,0.09090909090909091,0.6666666666666666,0.208,0.7305121421813965,0.5,69.0,2,finetune,1,3,9
-10d,-10.0,487,24,0.049281314168377825,0.19603092507774728,0.7592692584593232,0.15789473684210525,0.09036144578313253,0.625,0.24242424242424243,0.7888481616973877,0.5,71.0,1,finetune,1,3,9
+0d,0.0,487,24,0.049281314168377825,0.25624800063582165,0.796886249100072,0.1878453038674033,0.10828025477707007,0.7083333333333334,0.3373493975903614,0.7416954636573792,0.5,74.0,0,finetune,1,3,9
+20d,20.0,487,24,0.049281314168377825,0.2911175249347042,0.8253239740820735,0.22666666666666666,0.1349206349206349,0.7083333333333334,0.45454545454545453,0.7922999262809753,0.5,77.0,0,finetune,1,3,9
+50d,50.0,487,24,0.049281314168377825,0.3524242073691891,0.8431425485961123,0.34951456310679613,0.22784810126582278,0.75,0.5,0.7518386840820312,0.5,82.0,0,finetune,1,3,9
+100d,100.0,487,24,0.049281314168377825,0.38350218983000944,0.8498920086393089,0.3855421686746988,0.2711864406779661,0.6666666666666666,0.5531914893617021,0.7716932892799377,0.5,86.0,0,finetune,1,3,9
